Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,33.92,34.35,32.90,33.56,1712600,33.56
2012-04-04,35.27,35.31,33.62,33.74,2556000,33.74
2012-04-03,36.26,36.44,35.50,35.50,1371700,35.50
2012-04-02,36.03,36.33,35.26,36.26,1573300,36.26
2012-03-30,34.65,36.19,34.53,35.78,2055800,35.78
2012-03-29,34.69,35.15,33.99,34.24,1361900,34.24
2012-03-28,35.42,35.81,34.74,34.75,1049800,34.75
2012-03-27,35.83,36.08,35.40,35.60,997700,35.60
2012-03-26,35.52,35.93,34.87,35.62,1081700,35.62
2012-03-23,34.62,35.27,34.44,35.27,1250400,35.27
2012-03-22,35.42,35.42,34.09,34.52,1255400,34.52
2012-03-21,35.67,35.92,34.94,35.44,1057100,35.44
2012-03-20,36.55,36.69,35.51,35.53,1129900,35.53
2012-03-19,36.65,36.92,36.42,36.83,857600,36.83
2012-03-16,36.35,36.96,36.21,36.67,1714400,36.67
2012-03-15,35.90,36.42,35.79,36.38,1581000,36.38
2012-03-14,36.63,36.78,36.12,36.15,1461000,36.15
2012-03-13,34.92,36.62,34.92,36.46,2222300,36.46
2012-03-12,34.94,35.42,34.63,34.67,907300,34.67
2012-03-09,34.90,35.29,34.46,35.09,863100,35.09
2012-03-08,34.22,34.90,34.04,34.75,1096700,34.75
2012-03-07,33.47,34.08,33.35,33.86,1129400,33.86
2012-03-06,35.94,35.94,33.52,33.52,2185000,33.52
2012-03-05,35.62,35.64,35.04,35.22,754900,35.22
2012-03-02,35.88,36.10,35.72,35.85,1008900,35.85
2012-03-01,34.85,35.88,34.56,35.58,1072000,35.58
2012-02-29,35.04,35.49,34.75,34.91,1223800,34.91
2012-02-28,34.88,35.00,34.06,34.78,1413200,34.78
2012-02-27,35.35,35.35,34.63,34.97,1189600,34.97
2012-02-24,34.89,35.48,34.63,35.40,811200,35.40
2012-02-23,34.70,35.68,34.21,34.62,1418900,34.62
2012-02-22,35.02,35.22,34.78,34.85,1101900,34.85
2012-02-21,35.45,35.93,34.77,35.03,1415000,35.03
2012-02-20,34.81,35.82,34.80,35.49,1527700,35.49
2012-02-17,32.69,35.12,32.35,34.46,6076700,34.46
2012-02-16,31.33,31.84,31.08,31.83,1296800,31.83
2012-02-15,31.90,32.50,31.42,31.69,1000700,31.69
2012-02-14,32.00,32.26,31.39,31.58,1289700,31.58
2012-02-13,32.19,32.79,32.16,32.24,1040300,32.24
2012-02-10,32.34,32.84,31.76,31.88,1656700,31.88
2012-02-09,32.31,33.06,32.30,32.87,1658200,32.87
2012-02-08,32.08,32.62,32.01,32.06,1022000,32.06
2012-02-07,31.86,32.06,31.16,31.99,1143800,31.99
2012-02-06,32.35,32.36,31.40,31.83,1673300,31.83
2012-02-03,31.95,32.58,31.68,32.52,1412300,32.52
2012-02-02,32.31,32.50,31.74,32.10,1503400,32.10
2012-02-01,31.37,32.28,31.32,32.15,1557700,32.15
2012-01-31,30.92,31.85,30.70,31.15,1865900,31.15
2012-01-30,31.50,31.53,30.01,30.57,1429900,30.57
2012-01-27,31.99,32.54,31.56,31.79,1222700,31.79
